Bibliography,Species,Refid,Publicationyear,Modelsystem,Strainorpatienttype,Sex,Age,Route,Duration,Durationunit,Drug,Purity,Control,Vehicle,Compound,Endpointtype,Endpointname,Endpointunits,Tissue/sex,DailyDose,UnitofDose,Timepoint,"Numberofexperimentalunits(animals,humans)",Effectvalue,Variability,UnitofVariability,note,Histopathcall,study_ID
"Chiang, C. K.,Ho, T. I.,Peng, Y. S.,Hsu, S. P.,Pai, M. F.,Yang, S. Y.,Hung, K. Y.,Wu, K. D..  Rosiglitazone in diabetes control in hemodialysis patients with and without viral hepatitis infection: effectiveness and side effects. Diabetes Care.  2007. 30:3-7",Human,65,2007,Human prospective cohort study,Taiwanese hemodyalysis patients,Male + Female,Mean age of 56.8 years,p.o.,12,Months,Rosiglitazone/Avandia,,Baseline,,Rosiglitazone/Avandia,LFT,ALT,IU/L,,0,IU/L,Month 12 (Study end),72,13.4,4.8,SD,,,3
"Chiang, C. K.,Ho, T. I.,Peng, Y. S.,Hsu, S. P.,Pai, M. F.,Yang, S. Y.,Hung, K. Y.,Wu, K. D..  Rosiglitazone in diabetes control in hemodialysis patients with and without viral hepatitis infection: effectiveness and side effects. Diabetes Care.  2007. 30:3-7",Human,65,2007,Human prospective cohort study,Taiwanese hemodyalysis patients,Male + Female,Mean age of 56.8 years,p.o.,12,Months,Rosiglitazone/Avandia,,Baseline,,Rosiglitazone/Avandia,LFT,ALT,IU/L,,5,IU/L,Month 12 (Study end),72,11.2,5.7,SD,,,3
"Dadarkar, S. S.,Fonseca, L. C.,Mishra, P. B.,Lobo, A. S.,Doshi, L. S.,Dagia, N. M.,Rangasamy, A. K.,Padigaru, M..  Phenotypic and genotypic assessment of concomitant drug-induced toxic effects in liver, kidney and blood. J Appl Toxicol.  2011. 31:117-30",Rat,72,2011,Experimental animal,Sprague-Dawley,Female,"(8 weeks old, 130–150 g",i.p.,24,Hours,Rosiglitazone/Avandia,,,0.5% carboxymethylcellulose sodium solution,Rosiglitazone/Avandia,LFT,ALT,mmol/L,,0,mg/kg,24 hrs,3,32,5,SEM,,,21
"Dadarkar, S. S.,Fonseca, L. C.,Mishra, P. B.,Lobo, A. S.,Doshi, L. S.,Dagia, N. M.,Rangasamy, A. K.,Padigaru, M..  Phenotypic and genotypic assessment of concomitant drug-induced toxic effects in liver, kidney and blood. J Appl Toxicol.  2011. 31:117-30",Rat,72,2011,Experimental animal,Sprague-Dawley,Female,"(8 weeks old, 130–150 g",i.p.,24,Hours,Rosiglitazone/Avandia,,,0.5% carboxymethylcellulose sodium solution,Rosiglitazone/Avandia,LFT,ALT,mmol/L,,300,mg/kg,24 hrs,3,58,3,SEM,,,21
"Dereli, D.,Dereli, T.,Bayraktar, F.,Ozgen, A. G.,Yilmaz, C..  Endocrine and metabolic effects of rosiglitazone in non-obese women with polycystic ovary disease. Endocr J.  2005. 52:299-308",Human,78,2005,Human controlled trial,PCOS premenopausal women,Female,27-33 years approx.,p.o.,8,Months,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,U/L,Baseline,0,mg/day,Month 3,20,18.9,2.7,SD,,,12
"Dereli, D.,Dereli, T.,Bayraktar, F.,Ozgen, A. G.,Yilmaz, C..  Endocrine and metabolic effects of rosiglitazone in non-obese women with polycystic ovary disease. Endocr J.  2005. 52:299-308",Human,78,2005,Human controlled trial,PCOS premenopausal women,Female,27-33 years approx.,p.o.,8,Months,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,U/L,Baseline,2,mg/day,Month 3,20,18.5,2.4,SD,,,12
"Dereli, D.,Dereli, T.,Bayraktar, F.,Ozgen, A. G.,Yilmaz, C..  Endocrine and metabolic effects of rosiglitazone in non-obese women with polycystic ovary disease. Endocr J.  2005. 52:299-308",Human,78,2005,Human controlled trial,PCOS premenopausal women,Female,27-33 years approx.,p.o.,8,Months,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,U/L,Baseline,2,mg/day,Month 8,20,19.1,1.9,SD,,,12
"Dereli, D.,Dereli, T.,Bayraktar, F.,Ozgen, A. G.,Yilmaz, C..  Endocrine and metabolic effects of rosiglitazone in non-obese women with polycystic ovary disease. Endocr J.  2005. 52:299-308",Human,78,2005,Human controlled trial,PCOS premenopausal women,Female,27-33 years approx.,p.o.,8,Months,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,U/L,Baseline,0,mg/day,Month 3,20,18.6,2.9,SD,,,12
"Dereli, D.,Dereli, T.,Bayraktar, F.,Ozgen, A. G.,Yilmaz, C..  Endocrine and metabolic effects of rosiglitazone in non-obese women with polycystic ovary disease. Endocr J.  2005. 52:299-308",Human,78,2005,Human controlled trial,PCOS premenopausal women,Female,27-33 years approx.,p.o.,8,Months,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,U/L,Baseline,4,mg/day,Month 8,20,19.6,1.9,SD,,,12
"Dereli, D.,Dereli, T.,Bayraktar, F.,Ozgen, A. G.,Yilmaz, C..  Endocrine and metabolic effects of rosiglitazone in non-obese women with polycystic ovary disease. Endocr J.  2005. 52:299-308",Human,78,2005,Human controlled trial,PCOS premenopausal women,Female,27-33 years approx.,p.o.,8,Months,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,U/L,Baseline,4,mg/day,Month 3,20,19.3,1.5,SD,,,12
"Fujimoto, K.,Kumagai, K.,Ito, K.,Arakawa, S.,Ando, Y.,Oda, S.,Yamoto, T.,Manabe, S..  Sensitivity of liver injury in heterozygous Sod2 knockout mice treated with troglitazone or acetaminophen. Toxicol Pathol.  2009. 37:193-200",Mouse,94,2009,Experimental animal,B6.129S7-Sod2tm1Leb/J,Male + Female,eight weeks or thirty five weeks,p.o.,28,Days,Troglitazone/Rezulin,Not Stated,,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/L,Blood,0,mg/kg,1 day,10,27,3.1,Not Stated,,,15
"Fujimoto, K.,Kumagai, K.,Ito, K.,Arakawa, S.,Ando, Y.,Oda, S.,Yamoto, T.,Manabe, S..  Sensitivity of liver injury in heterozygous Sod2 knockout mice treated with troglitazone or acetaminophen. Toxicol Pathol.  2009. 37:193-200",Mouse,94,2009,Experimental animal,B6.129S7-Sod2tm1Leb/J,Male + Female,eight weeks or thirty five weeks,p.o.,28,Days,Troglitazone/Rezulin,Not Stated,,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/L,Blood,300,mg/kg,1 day,10,38.6,20.3,Not Stated,,,15
"Fujimoto, K.,Kumagai, K.,Ito, K.,Arakawa, S.,Ando, Y.,Oda, S.,Yamoto, T.,Manabe, S..  Sensitivity of liver injury in heterozygous Sod2 knockout mice treated with troglitazone or acetaminophen. Toxicol Pathol.  2009. 37:193-200",Mouse,94,2009,Experimental animal,B6.129S7-Sod2tm1Leb/J,Male + Female,eight weeks or thirty five weeks,p.o.,28,Days,Troglitazone/Rezulin,Not Stated,,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/L,Blood,0,mg/kg,1 day,9,25.4,4.6,Not Stated,,,15
"Fujimoto, K.,Kumagai, K.,Ito, K.,Arakawa, S.,Ando, Y.,Oda, S.,Yamoto, T.,Manabe, S..  Sensitivity of liver injury in heterozygous Sod2 knockout mice treated with troglitazone or acetaminophen. Toxicol Pathol.  2009. 37:193-200",Mouse,94,2009,Experimental animal,B6.129S7-Sod2tm1Leb/J,Male + Female,eight weeks or thirty five weeks,p.o.,28,Days,Troglitazone/Rezulin,Not Stated,,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/L,Blood,300,mg/kg,1 day,9,39.6,8.3,Not Stated,,,15
"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",Rat,136,2000,Experimental animal,LETO,Male,"12 weeks
28 weeks",p.o.,60/44,Weeks,Troglitazone/Rezulin,200mg/100g,,Vehicle control not described,Troglitazone/Rezulin,LFT,ALT,IUA,Blood,0,mg/100g,60 weeks (LETO),6-10,37.2,1.7,SE,,,22
"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",Rat,136,2000,Experimental animal,LETO,Male,"12 weeks
28 weeks",p.o.,60/44,Weeks,Troglitazone/Rezulin,200mg/100g,,Vehicle control not described,Troglitazone/Rezulin,LFT,ALT,IUA,Blood,200,mg/100g,60 weeks (LETO),6-10,36,1.3,SE,,,22
"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",Rat,136,2000,Experimental animal,LETO,Male,"12 weeks
28 weeks",p.o.,60/44,Weeks,Troglitazone/Rezulin,200mg/100g,,Vehicle control not described,Troglitazone/Rezulin,LFT,ALT,IUA,Blood,200,mg/100g,44 weeks (LETO),6-10,35.8,3.3,SE,,,22
"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",Rat,136,2000,Experimental animal,LETO,Male,"12 weeks
28 weeks",p.o.,60/44,Weeks,Troglitazone/Rezulin,200mg/100g,,Vehicle control not described,Troglitazone/Rezulin,LFT,ALT,IUA,Blood,0,mg/100g,60 weeks (OLETF),6-10,49.2,4,SE,,,22
"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",Rat,136,2000,Experimental animal,LETO,Male,"12 weeks
28 weeks",p.o.,60/44,Weeks,Troglitazone/Rezulin,200mg/100g,,Vehicle control not described,Troglitazone/Rezulin,LFT,ALT,IUA,Blood,200,mg/100g,60 weeks (OLETF),6-10,36.2,3.8,SE,,,22
"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",Rat,136,2000,Experimental animal,LETO,Male,"12 weeks
28 weeks",p.o.,60/44,Weeks,Troglitazone/Rezulin,200mg/100g,,Vehicle control not described,Troglitazone/Rezulin,LFT,ALT,IUA,Blood,200,mg/100g,44 weeks (OLETF),6-10,35,2.6,SE,,,22
"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",Rat,187,2002,Experimental animal,Wistar Han,Male,10 weeks,Gavage,3,Weeks,Troglitazone/Rezulin,,,Vehicle control not described,Troglitazone/Rezulin,LFT,ALT,IU/L,Blood,0,mg/kg,3 weeks,5,11,1.5,SD,,,23
"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",Rat,187,2002,Experimental animal,Wistar Han,Male,10 weeks,Gavage,3,Weeks,Troglitazone/Rezulin,,,Vehicle control not described,Troglitazone/Rezulin,LFT,ALT,IU/L,Blood,100,mg/kg,3 weeks,5,10.6,1,SD,,,23
"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",Rat,187,2002,Experimental animal,Wistar Han,Male,10 weeks,Gavage,3,Weeks,Troglitazone/Rezulin,,,Vehicle control not described,Troglitazone/Rezulin,LFT,ALT,IU/L,Blood,500,mg/kg,3 weeks,5,11.8,1.9,SD,,,23
"Liu, S.,Wu, H. J.,Zhang, Z. Q.,Chen, Q.,Liu, B.,Wu, J. P.,Zhu, L..  The ameliorating effect of rosiglitazone on experimental nonalcoholic steatohepatitis is associated with regulating adiponectin receptor expression in rats. Eur J Pharmacol.  2011. 650:384-9",Rat,191,2011,Experimental animal,Sprague-Dawley,Male,12 weeks,p.o.,8,Weeks,Rosiglitazone/Avandia,,,Vehicle control not described,Rosiglitazone/Avandia,LFT,ALT,U/L,Blood,0,mg/kg,8 weeks,10,108.33,10.11,SD,,,24
"Liu, S.,Wu, H. J.,Zhang, Z. Q.,Chen, Q.,Liu, B.,Wu, J. P.,Zhu, L..  The ameliorating effect of rosiglitazone on experimental nonalcoholic steatohepatitis is associated with regulating adiponectin receptor expression in rats. Eur J Pharmacol.  2011. 650:384-9",Rat,191,2011,Experimental animal,Sprague-Dawley,Male,12 weeks,p.o.,8,Weeks,Rosiglitazone/Avandia,,,Vehicle control not described,Rosiglitazone/Avandia,LFT,ALT,U/L,Blood,4,mg/kg,8 weeks,10,77,15.85,SD,,,24
"Mavandadi, A.,Gong, W. C..  Effects of troglitazone in Hispanic patients with type 2 diabetes mellitus. Current Therapeutic Research - Clinical and Experimental.  1999. 60:494-501",Human,199,1999,Human open-label controlled trial,,Male + Female,"≥18 years of age

Mean age of the 19 patients was 56 years (range, 31 to 64 years),",p.o.,6,Months,Troglitazone/Rezulin,,,,Troglitazone/Rezulin,LFT,ALT,U/L,Male and Female,400,mg,3 months,19,36,10,SD,,,5
"Mavandadi, A.,Gong, W. C..  Effects of troglitazone in Hispanic patients with type 2 diabetes mellitus. Current Therapeutic Research - Clinical and Experimental.  1999. 60:494-501",Human,199,1999,Human open-label controlled trial,,Male + Female,"≥18 years of age

Mean age of the 19 patients was 56 years (range, 31 to 64 years),",p.o.,6,Months,Troglitazone/Rezulin,,,,Troglitazone/Rezulin,LFT,ALT,U/L,Male and Female,0,mg,3 months,19,41.5,17.9,SD,,,5
"Mavandadi, A.,Gong, W. C..  Effects of troglitazone in Hispanic patients with type 2 diabetes mellitus. Current Therapeutic Research - Clinical and Experimental.  1999. 60:494-501",Human,199,1999,Human open-label controlled trial,,Male + Female,"≥18 years of age

Mean age of the 19 patients was 56 years (range, 31 to 64 years),",p.o.,6,Months,Troglitazone/Rezulin,,,,Troglitazone/Rezulin,LFT,ALT,U/L,Male and Female,400,mg,6 months,19,35,8.1,SD,,,5
"Meghani, N. M.,Barve, K.,Wackchaure, S.,Nandanwar, M. B.,Latad, S.,Mankani, H..  Toxicity assessment of clarithromycin in diabetic wistar rats treated with rosiglitazone. International Journal of Pharmaceutical Sciences and Research.  2012. 3:2623-2632",Rat,202,2012,Experimental animal,Wistar,Male,,p.o.,14,Days,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,U/L,,80,mg/kg,14 weeks,6,45,3,SEM,,,25
"Meghani, N. M.,Barve, K.,Wackchaure, S.,Nandanwar, M. B.,Latad, S.,Mankani, H..  Toxicity assessment of clarithromycin in diabetic wistar rats treated with rosiglitazone. International Journal of Pharmaceutical Sciences and Research.  2012. 3:2623-2632",Rat,202,2012,Experimental animal,Wistar,Male,,p.o.,14,Days,Rosiglitazone/Avandia,,,,Rosiglitazone/Avandia,LFT,ALT,U/L,,0,mg/kg,14 weeks,6,42,31,SEM,,,25
"Ong, M. M.,Latchoumycandane, C.,Boelsterli, U. A..  Troglitazone-induced hepatic necrosis in an animal model of silent genetic mitochondrial abnormalities. Toxicol Sci.  2007. 97:205-13",Mouse,220,2007,Experimental animal,Sod2tm1Leb/J,Male + Female,". All animals were 16–21 weeks old at the start of drug
treatment.",i.p.,28,Days,Troglitazone/Rezulin,,,Solutol HS-15 (9%),Troglitazone/Rezulin,LFT,ALT,U/L,Not Specified,30,mg/kg,28 days,5,99,34,SD,,,16
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Male,0,mg/kg,0,4,56,6.1,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Male,0,mg/kg,3 months,4,54,6.6,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Male,0,mg/kg,6 months,4,49,8.7,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Male,0,mg/kg,9 months,4,53,15.1,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Male,0,mg/kg,12 months,4,59,7.1,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Male,300,mg/kg,0,4,31,11.2,SD,,,19
"Rothwell, C.,McGuire, E. J.,Altrogge, D. M.,Masuda, H.,de la Iglesia, F. A..  Chronic toxicity in monkeys with the thiazolidinedione antidiabetic agent troglitazone. J Toxicol Sci.  2002. 27:35-47",Non-human primate,246,2002,Experimental animal,Cynomolgus monkeys ( Macaca fascicularis ),Male + Female,2 to 6 years old and weighed 2.6 to 3.5 kg,Gavage,52,Weeks,Troglitazone/Rezulin,"Doses were based on active drug moiety of 56.7%.. an amorphous coprecipitate with povidone, poly- ethylene glycol 400, and polysorbate 80",,0.5% carboxymethylcellulose sodium solution,Troglitazone/Rezulin,LFT,ALT,U/l,Male,300,mg/kg,3 months,4,41,7.9,SD,,,19
