combinedID,comparedID,DailyDose.x,Timepoint.x,samplesize_treated,MeanofEffectvalue_treated,Meanofvaribility_treated,DailyDose.y,Timepoint.y,samplesize_control,MeanofEffectvalue_control,Meanofvaribility_control,Bibliography,Year,Species,Endpointname,Endpointunit,Drug,UnitofDose,UnitofVariability,t,SE,Effectsize,UL,LL,Effectpercent
109.1,109.1.2,200,44 weeks (OLETF),8,27.6,1.414213562,200,Baseline,8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, relative",mg/g bodyweight,Troglitazone/Rezulin,mg/100g,SD,2.144786688,2.27815715,-3.5,1.386161128,-8.386161128,88.75%
109.1,109.1.3,200,60 weeks (LETO),8,24.8,1.979898987,200,Baseline,8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, relative",mg/g bodyweight,Troglitazone/Rezulin,mg/100g,SD,2.144786688,2.924038303,-6.3,-0.028561572,-12.57143843,79.74%
109.1,109.1.4,200,60 weeks (OLEFT),8,27.7,1.13137085,200,Baseline,8,31.1,3.676955262,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,"Liver weight, relative",mg/g bodyweight,Troglitazone/Rezulin,mg/100g,SD,2.144786688,1.98242276,-3.4,0.851873946,-7.651873946,89.07%
110.1,110.1.1,200,44 weeks (LETO),8,76.4,7.353910524,200,Baseline,8,83.35,14.8492424,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,AST,IUA,Troglitazone/Rezulin,mg/100g,SD,2.144786688,11.05452396,-6.95,16.75959583,-30.65959583,91.66%
110.1,110.1.2,200,44 weeks (OLETF),8,69,42.70924958,200,Baseline,8,83.35,14.8492424,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,AST,IUA,Troglitazone/Rezulin,mg/100g,SD,2.144786688,56.7424224,-14.35,107.3503922,-136.0503922,82.78%
110.1,110.1.3,200,60 weeks (LETO),8,82,5.656854249,200,Baseline,8,83.35,14.8492424,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,AST,IUA,Troglitazone/Rezulin,mg/100g,SD,2.144786688,9.141252649,-1.35,18.25603699,-20.95603699,98.38%
110.1,110.1.4,200,60 weeks (OLETF),8,52.6,9.050966799,200,Baseline,8,83.35,14.8492424,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,AST,IUA,Troglitazone/Rezulin,mg/100g,SD,2.144786688,13.07373321,-30.75,-2.709631054,-58.79036895,63.11%
111.1,111.1.1,200,44 weeks (LETO),8,35.8,9.333809512,200,Baseline,8,43.2,8.061017306,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,ALT,IUA,Troglitazone/Rezulin,mg/100g,SD,2.144786688,12.67211506,-7.4,19.77898368,-34.57898368,82.87%
111.1,111.1.2,200,44 weeks (OLETF),8,35,7.353910524,200,Baseline,8,43.2,8.061017306,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,ALT,IUA,Troglitazone/Rezulin,mg/100g,SD,2.144786688,10.13718403,-8.2,13.54209735,-29.94209735,81.02%
111.1,111.1.3,200,60 weeks (LETO),8,36,3.676955262,200,Baseline,8,43.2,8.061017306,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,ALT,IUA,Troglitazone/Rezulin,mg/100g,SD,2.144786688,5.637597006,-7.2,4.89144301,-19.29144301,83.33%
111.1,111.1.4,200,60 weeks (OLETF),8,36.2,10.74802307,200,Baseline,8,43.2,8.061017306,"Jia, D. M.,Tabaru, A.,Akiyama, T.,Abe, S.,Otsuki, M..  Troglitazone prevents fatty changes of the liver in obese diabetic rats. J Gastroenterol Hepatol.  2000. 15:1183-91",2000,Rat,ALT,IUA,Troglitazone/Rezulin,mg/100g,SD,2.144786688,14.50112065,-7,24.10181052,-38.10181052,83.80%
112.1,112.1.1,200,4 weeks,10,9.32,1.043551628,0,4 weeks,10,9.29,0.980306075,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,Rat,"Liver weight, absolute",mg,Troglitazone/Rezulin,mg/kg,SD,2.10092204,1.433980474,0.03,3.042681183,-2.982681183,100.32%
112.1,112.1.2,50,4 weeks,10,9.15,0.695701085,0,4 weeks,10,9.29,0.980306075,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,Rat,"Liver weight, absolute",mg,Troglitazone/Rezulin,mg/kg,SD,2.10092204,0.983514108,-0.14,1.926286466,-2.206286466,98.49%
113.1,113.1.1,200,4 weeks,10,35.35,1.612761607,0,4 weeks,10,36.89,2.624690458,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,Rat,"Liver weight, relative",mg/g bodyweight,Troglitazone/Rezulin,mg/kg,SD,2.10092204,2.317477076,-1.54,3.328838668,-6.408838668,95.83%
113.1,113.1.2,50,4 weeks,10,36.01,2.276839915,0,4 weeks,10,36.89,2.624690458,"Kakiuchi-Kiyota, S.,Arnold, L. L.,Yokohira, M.,Suzuki, S.,Pennington, K. L.,Cohen, S. M..  Evaluation of PPARgamma agonists on rodent endothelial cell proliferation. Toxicology.  2011. 287:91-8",2011,Rat,"Liver weight, relative",mg/g bodyweight,Troglitazone/Rezulin,mg/kg,SD,2.10092204,3.165454154,-0.88,5.770372399,-7.530372399,97.61%
114.1,114.1.1,200,2 hrs,4,0.375,0.092,200,Baseline,4,0.33,0.052,"Kostrubsky, V. E.,Vore, M.,Kindt, E.,Burliegh, J.,Rogers, K.,Peter, G.,Altrogge, D.,Sinz, M. W..  The effect of troglitazone biliary excretion on metabolite distribution and cholestasis in transporter-deficient rats. Drug Metabolism and Disposition.  2001. 29:1561-1566",2001,Rat,Bilirubin (total),mg/dl,Troglitazone/Rezulin,mg/kg,SD,2.446911851,0.115637364,0.045,0.327954437,-0.237954437,113.64%
114.1,114.1.2,200,36 hrs,4,0.23,0.048,200,Baseline,4,0.33,0.052,"Kostrubsky, V. E.,Vore, M.,Kindt, E.,Burliegh, J.,Rogers, K.,Peter, G.,Altrogge, D.,Sinz, M. W..  The effect of troglitazone biliary excretion on metabolite distribution and cholestasis in transporter-deficient rats. Drug Metabolism and Disposition.  2001. 29:1561-1566",2001,Rat,Bilirubin (total),mg/dl,Troglitazone/Rezulin,mg/kg,SD,2.446911851,0.064280635,-0.1,0.057289047,-0.257289047,69.70%
115.1,115.1.1,100,3 weeks,5,10.6,1,0,3 weeks,5,11,1.5,"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",2002,Rat,ALT,IU/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,1.431782106,-0.4,2.901695458,-3.701695458,96.36%
115.1,115.1.2,500,3 weeks,5,11.8,1.9,0,3 weeks,5,11,1.5,"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",2002,Rat,ALT,IU/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,2.495195383,0.8,6.553930872,-4.953930872,107.27%
116.1,116.1.1,100,3 weeks,5,51.3,11,0,3 weeks,5,48.8,4.1,"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",2002,Rat,AST,IU/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,14.03431509,2.5,34.86318863,-29.86318863,105.12%
116.1,116.1.2,500,3 weeks,5,53.4,3.2,0,3 weeks,5,48.8,4.1,"Li, J.,Kaneko, T.,Wang, Y.,Qin, L. Q.,Wang, P. Y.,Sato, A..  Troglitazone enhances the hepatotoxicity of acetaminophen by inducing CYP3A in rats. Toxicology.  2002. 176:91-100",2002,Rat,AST,IU/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,4.443647151,4.6,14.8470687,-5.647068705,109.43%
117.1,117.1.1,4,8 weeks,10,77,15.85,0,8 weeks,10,108.33,10.11,"Liu, S.,Wu, H. J.,Zhang, Z. Q.,Chen, Q.,Liu, B.,Wu, J. P.,Zhu, L..  The ameliorating effect of rosiglitazone on experimental nonalcoholic steatohepatitis is associated with regulating adiponectin receptor expression in rats. Eur J Pharmacol.  2011. 650:384-9",2011,Rat,ALT,U/L,Rosiglitazone/Avandia,mg/kg,SD,2.10092204,21.50399289,-31.33,13.84821261,-76.50821261,71.08%
118.1,118.1.1,4,8 weeks,10,78.3,25.64,0,8 weeks,10,164.33,33.54,"Liu, S.,Wu, H. J.,Zhang, Z. Q.,Chen, Q.,Liu, B.,Wu, J. P.,Zhu, L..  The ameliorating effect of rosiglitazone on experimental nonalcoholic steatohepatitis is associated with regulating adiponectin receptor expression in rats. Eur J Pharmacol.  2011. 650:384-9",2011,Rat,AST,U/L,Rosiglitazone/Avandia,mg/kg,SD,2.10092204,35.99764492,-86.03,-10.40175438,-161.6582456,47.65%
120.1,120.1.1,4,8 weeks,10,86.8,25.64,0,8 weeks,10,91.11,19.63,"Liu, S.,Wu, H. J.,Zhang, Z. Q.,Chen, Q.,Liu, B.,Wu, J. P.,Zhu, L..  The ameliorating effect of rosiglitazone on experimental nonalcoholic steatohepatitis is associated with regulating adiponectin receptor expression in rats. Eur J Pharmacol.  2011. 650:384-9",2011,Rat,Gamma-glutamyl transferase (γGT),U/L,Rosiglitazone/Avandia,mg/kg,SD,2.10092204,34.95527099,-4.31,69.12829925,-77.74829925,95.27%
122.1,122.1.1,80,14 weeks,6,45,7.348469228,0,14 weeks,6,42,75.93418203,"Meghani, N. M.,Barve, K.,Wackchaure, S.,Nandanwar, M. B.,Latad, S.,Mankani, H..  Toxicity assessment of clarithromycin in diabetic wistar rats treated with rosiglitazone. International Journal of Pharmaceutical Sciences and Research.  2012. 3:2623-2632",2012,Rat,ALT,U/L,Rosiglitazone/Avandia,mg/kg,SD,2.228138852,32.41913015,3,75.23432345,-69.23432345,107.14%
123.1,123.1.1,80,14 weeks,6,190,29.39387691,0,14 weeks,6,145,110.2270384,"Meghani, N. M.,Barve, K.,Wackchaure, S.,Nandanwar, M. B.,Latad, S.,Mankani, H..  Toxicity assessment of clarithromycin in diabetic wistar rats treated with rosiglitazone. International Journal of Pharmaceutical Sciences and Research.  2012. 3:2623-2632",2012,Rat,ALP,U/L,Rosiglitazone/Avandia,mg/kg,SD,2.228138852,58.86425061,45,176.1577238,-86.15772378,131.03%
124.1,124.1.1,80,14 weeks,6,160,24.49489743,0,14 weeks,6,175,29.39387691,"Meghani, N. M.,Barve, K.,Wackchaure, S.,Nandanwar, M. B.,Latad, S.,Mankani, H..  Toxicity assessment of clarithromycin in diabetic wistar rats treated with rosiglitazone. International Journal of Pharmaceutical Sciences and Research.  2012. 3:2623-2632",2012,Rat,AST,U/L,Rosiglitazone/Avandia,mg/kg,SD,2.228138852,33.82306905,-15,60.36249425,-90.36249425,91.43%
129.1,129.1.1,1000,single,5,60,3.6,0,single,9,54,7.2,"Spicker, J. S.,Pedersen, H. T.,Nielsen, H. B.,Brunak, S..  Analysis of cell death inducing compounds. Arch Toxicol.  2007. 81:803-11",2007,Rat,ALT,counts,Rosiglitazone/Avandia,mg/kg,SD,2.17881283,5.184592559,6,17.29625678,-5.296256784,111.11%
130.1,130.1.1,1000,single,5,109,14,0,single,9,104,16,"Spicker, J. S.,Pedersen, H. T.,Nielsen, H. B.,Brunak, S..  Analysis of cell death inducing compounds. Arch Toxicol.  2007. 81:803-11",2007,Rat,AST,counts,Rosiglitazone/Avandia,mg/kg,SD,2.17881283,17.23390285,5,42.54944863,-32.54944863,104.81%
132.1,132.1.1,100,94 days,5,62.8,10.3,0,94 days,5,82.2,14.95,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,ALT,U/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,14.64392365,-19.4,14.3689485,-53.1689485,76.40%
132.1,132.1.2,400,94 days,5,60.6,8.1,0,94 days,5,82.2,14.95,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,ALT,U/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,12.23423475,-21.6,6.612195932,-49.81219593,73.72%
133.1,133.1.1,100,94 days,5,96.8,10.65,0,94 days,5,130.8,25.8,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,AST,U/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,17.7370798,-34,6.901779376,-74.90177938,74.01%
133.1,133.1.2,400,94 days,5,85.7,6.35,0,94 days,5,130.8,25.8,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,AST,U/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,14.05859168,-45.1,-12.68082945,-77.51917055,65.52%
134.1,134.1.1,100,94 days,5,922.7,81.55,0,94 days,5,816.8,88.8,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,ALP,U/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,110.53385,105.9,360.7915152,-148.9915152,112.97%
134.1,134.1.2,400,94 days,5,949.2,47.4,0,94 days,5,816.8,88.8,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,ALP,U/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,71.91595094,132.4,298.2384803,-33.43848026,116.21%
135.1,135.1.1,100,94 days,5,0.065,0.01,0,94 days,5,0.075,0.005,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,Bilirubin (total),U/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,0.012845233,-0.01,0.019621159,-0.039621159,86.67%
135.1,135.1.2,400,94 days,5,0.07,0.005,0,94 days,5,0.075,0.005,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,Bilirubin (total),U/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,0.006708204,-0.005,0.010469146,-0.020469146,93.33%
136.1,136.1.1,100,94 days,5,0.05,0.005,0,94 days,5,0.05,0.01,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,Bilirubin (direct),U/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,0.007745967,0,0.017862231,-0.017862231,100.00%
136.1,136.1.2,400,94 days,5,0.045,0.01,0,94 days,5,0.05,0.01,"Watanabe, T.,Furukawa, T.,Sharyo, S.,Ohashi, Y.,Yasuda, M.,Takaoka, M.,Manabe, S..  Effect of troglitazone on the liver of a Gunn rat model of genetic enzyme polymorphism. J Toxicol Sci.  2000. 25:423-31",2000,Rat,Bilirubin (direct),U/L,Troglitazone/Rezulin,mg/kg,SD,2.306004135,0.013416408,-0.005,0.025938292,-0.035938292,90.00%
138.1,138.1.1,4,56 days,6,9.11,7.642407997,0,56 days,6,9.21,5.756300896,"Yadav, H.,Jain, S.,Prasad, G. B.,Yadav, M..  Preventive effect of diabegon, a polyherbal preparation, during progression of diabetes induced by high-fructose feeding in rats. J Pharmacol Sci.  2007. 105:12-21",2007,Rat,"Liver weight, absolute",g,Rosiglitazone/Avandia,mg/kg,SD,2.228138852,10.14231236,-0.1,22.49848022,-22.69848022,98.91%
139.1,139.1.1,4,56 days,6,5.89,5.192918255,0,56 days,6,7.01,5.560341716,"Yadav, H.,Jain, S.,Prasad, G. B.,Yadav, M..  Preventive effect of diabegon, a polyherbal preparation, during progression of diabetes induced by high-fructose feeding in rats. J Pharmacol Sci.  2007. 105:12-21",2007,Rat,SGOT,IU,Rosiglitazone/Avandia,mg/kg,SD,2.228138852,7.07791636,-1.12,14.65058043,-16.89058043,84.02%
140.1,140.1.1,4,56 days,6,1.03,0.318433667,0,56 days,6,0.99,0.293938769,"Yadav, H.,Jain, S.,Prasad, G. B.,Yadav, M..  Preventive effect of diabegon, a polyherbal preparation, during progression of diabetes induced by high-fructose feeding in rats. J Pharmacol Sci.  2007. 105:12-21",2007,Rat,Bilirubin (total),mg/dl,Rosiglitazone/Avandia,mg/kg,SD,2.228138852,0.428252262,0.04,0.994205504,-0.914205504,104.04%
141.1,141.1.1,10,8 weeks,6,9.77,1.56,0,8 weeks,6,10.59,2.01,"Yadav, H.,Jain, S.,Yadav, M.,Sinha, P. R.,Prasad, G. B.,Marotta, F..  Epigenomic derangement of hepatic glucose metabolism by feeding of high fructose diet and its prevention by Rosiglitazone in rats. Dig Liver Dis.  2009. 41:500-8",2009,Rat,"Liver weight, absolute",g,Rosiglitazone/Avandia,g,SD,2.228138852,2.174706877,-0.82,4.025548884,-5.665548884,92.26%
143.1,143.1.1,3,2 weeks,7.5,13.9,0.4,0,2 weeks,7.5,14.4,0.3,"Ye, J. M.,Iglesias, M. A.,Watson, D. G.,Ellis, B.,Wood, L.,Jensen, P. B.,Sorensen, R. V.,Larsen, P. J.,Cooney, G. J.,Wassermann, K.,Kraegen, E. W..  PPARalpha /gamma ragaglitazar eliminates fatty liver and enhances insulin action in fat-fed rats in the absence of hepatomegaly. Am J Physiol Endocrinol Metab.  2003. 284:E531-40",2003,Rat,"Liver weight, absolute",g,Rosiglitazone/Avandia,mg/kg,SD,2.160368656,0.53789714,-0.5,0.662056122,-1.662056122,96.53%
15.1,15.1.1,400,3 months,19,36,10,400,Baseline,19,41.5,17.9,"Mavandadi, A.,Gong, W. C..  Effects of troglitazone in Hispanic patients with type 2 diabetes mellitus. Current Therapeutic Research - Clinical and Experimental.  1999. 60:494-501",1999,Human,ALT,U/L,Troglitazone/Rezulin,mg,SD,2.028094001,14.36444807,-5.5,23.63245096,-34.63245096,86.75%
15.1,15.1.2,400,6 months,19,35,8.1,400,Baseline,19,41.5,17.9,"Mavandadi, A.,Gong, W. C..  Effects of troglitazone in Hispanic patients with type 2 diabetes mellitus. Current Therapeutic Research - Clinical and Experimental.  1999. 60:494-501",1999,Human,ALT,U/L,Troglitazone/Rezulin,mg,SD,2.028094001,11.8818083,-6.5,17.59742413,-30.59742413,84.34%
16.1,16.1.1,400,3 months,19,22.3,7.5,400,Baseline,19,24.5,12.8,"Mavandadi, A.,Gong, W. C..  Effects of troglitazone in Hispanic patients with type 2 diabetes mellitus. Current Therapeutic Research - Clinical and Experimental.  1999. 60:494-501",1999,Human,AST,U/L,Troglitazone/Rezulin,mg,SD,2.028094001,10.73322436,-2.2,19.56798795,-23.96798795,91.02%
16.1,16.1.2,400,6 months,19,21.7,7,400,Baseline,19,24.5,12.8,"Mavandadi, A.,Gong, W. C..  Effects of troglitazone in Hispanic patients with type 2 diabetes mellitus. Current Therapeutic Research - Clinical and Experimental.  1999. 60:494-501",1999,Human,AST,U/L,Troglitazone/Rezulin,mg,SD,2.028094001,10.07299673,-2.8,17.62898424,-23.22898424,88.57%
